Title of the Book,Author,Book type,Original Price,Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
book not found,,,,,,,,
Gateway to the Seer Realm,Barbie Breathitt,Paperback,,$32.63,0768403057,,DESTINY IMAGE INC,316
Pop Goes the Weasel,M. J. Arlidge,eBook,,$15.99,1405914971,,Penguin Books Ltd,464
The Dark Forest,Cixin Liu,Hardcover,,$56.25,076537708X,,Tor Books,512
Giovanni's Room,James Baldwin,eBook,,$15.99,0141903988,,Penguin Books Ltd,176
Furry Friends,K Campbell,eBook,,,1311796657,,Katrina Kahler,
Carrie's War,Nina Bawden,eBook,,,0141909412,,Penguin Books Ltd,192
book not found,,,,,,,,
book not found,,,,,,,,
Hornblower and the Crisis,C.S. Forester,eBook,,$15.99,0141928980,,Penguin Books Ltd,176
Stalingrad,Antony Beevor,eBook,,$15.99,0141926104,,Penguin Books Ltd,512
Interesting Times,Terry Pratchett,eBook,,$14.99,1407034960,,Transworld,432
The Diary of a Nobody,George Grossmith,eBook,,$10.99,0141905697,,Penguin Books Ltd,256
Permafrost,Alastair Reynolds,eBook,$6.22,$12.99,1250303559,,Tor Publishing Group,
The Woman Who Walked into the Sea,Mark Douglas-Home,eBook,,$15.99,1405923598,,Penguin Books Ltd,336
Kitchen Confidential,Anthony Bourdain,eBook,$19.99,$17.99,1408820854,,Bloomsbury Publishing,336
Bless Her Dead Heart,Meg Collett,eBook,,$1.39,046320882X,,Meg Collett,
The Enemy,Tom Wood,eBook,,$16.99,0748122869,,"Little, Brown Book Group",400
A Wrinkle in Time,Madeleine L'Engle,eBook,,$26.99,0141929561,,Penguin Random House Children's UK,208
The Legend of Podkin One-Ear,Kieran Larwood,eBook,$10.99,$9.99,057132827X,,Faber & Faber,288
book not found,,,,,,,,
book not found,,,,,,,,
Little Life,Hanya Yanagihara,eBook,,,0385539266,,Knopf Doubleday Publishing Group,498
Guards! Guards!,Terry Pratchett,eBook,,$14.99,1407034693,,Transworld,432
Smiley's People,John le Carr�,eBook,,$15.99,0241322537,,Penguin Books Ltd,464
book not found,,,,,,,,
Jolly Foul Play,Robin Stevens,eBook,,$9.99,0141369701,,Penguin Random House Children's UK,336
The Complete Book of Chalk Lettering,Valerie McKeehan,eBook,,$23.99,0761187049,,Workman Publishing Company,144
